NA_1555 	 objective
NA_3121 	 negative
NA_5255 	 objective
NA_T15112225 	 positive
NA_297 	 positive
NA_4531 	 positive
NA_5505 	 positive
NA_4678 	 positive
NA_T15115973 	 neutral
NA_1266 	 objective
NA_T15116405 	 neutral
NA_T15116513 	 objective
NA_T15116618 	 positive
NA_T15114311 	 negative
NA_2358 	 positive
NA_T15115576 	 negative
NA_1969 	 objective
NA_T15112759 	 positive
NA_5494 	 neutral
NA_3570 	 positive
NA_1334 	 negative
NA_8718 	 objective
NA_6450 	 negative
NA_6620 	 objective
NA_659 	 negative
NA_5695 	 objective
NA_T15112290 	 positive
NA_4653 	 positive
NA_6955 	 positive
NA_1124 	 objective
NA_951 	 neutral
NA_2001 	 positive
NA_7511 	 positive
NA_T15111662 	 positive
NA_7875 	 positive
NA_7683 	 positive
NA_1368 	 positive
NA_6992 	 positive
NA_7961 	 positive
NA_7274 	 objective
NA_983 	 positive
NA_7058 	 positive
NA_797 	 objective
NA_7050 	 positive
NA_5196 	 positive
NA_3133 	 positive
NA_7391 	 positive
NA_4975 	 positive
NA_1658 	 objective
NA_6143 	 neutral
NA_T15116110 	 objective
NA_8243 	 objective
NA_7807 	 positive
NA_6803 	 positive
NA_4677 	 objective
NA_2310 	 objective
NA_7814 	 objective
NA_375 	 objective
NA_2713 	 objective
NA_7505 	 objective
NA_T15112058 	 objective
NA_5388 	 negative
NA_655 	 objective
NA_4360 	 objective
NA_7409 	 neutral
NA_8529 	 positive
NA_6499 	 objective
NA_5833 	 objective
NA_5222 	 positive
NA_5145 	 objective
NA_7334 	 positive
NA_7621 	 positive
NA_T15116129 	 positive
NA_2126 	 positive
NA_2159 	 positive
NA_5845 	 objective
NA_158 	 objective
NA_1598 	 positive
NA_1063 	 objective
NA_T15113002 	 objective
NA_1577 	 objective
NA_1958 	 objective
NA_3177 	 positive
NA_612 	 positive
NA_1921 	 objective
NA_T15114870 	 positive
NA_7663 	 objective
NA_6209 	 positive
NA_814 	 positive
NA_5974 	 objective
NA_6079 	 objective
NA_1492 	 objective
NA_2822 	 positive
NA_125 	 objective
NA_8429 	 positive
NA_6304 	 objective
NA_1710 	 objective
NA_5568 	 positive
NA_5513 	 objective
NA_1567 	 objective
NA_T15112486 	 neutral
NA_3414 	 positive
NA_7827 	 objective
NA_4015 	 positive
NA_1866 	 objective
NA_2551 	 positive
NA_3015 	 neutral
NA_3644 	 neutral
NA_3327 	 objective
NA_T15116446 	 objective
NA_T15114394 	 positive
NA_8024 	 neutral
NA_7318 	 positive
NA_T15111616 	 objective
NA_5500 	 negative
NA_6254 	 positive
NA_T15115933 	 neutral
NA_1191 	 positive
NA_6470 	 positive
NA_6594 	 positive
NA_T15116651 	 positive
NA_5898 	 objective
NA_3839 	 positive
NA_2346 	 neutral
NA_T15115881 	 positive
NA_75 	 objective
NA_6464 	 objective
NA_517 	 objective
NA_T15113100 	 negative
NA_1648 	 positive
NA_7887 	 positive
NA_803 	 objective
NA_T15114131 	 neutral
NA_2533 	 positive
NA_4573 	 positive
NA_4652 	 positive
NA_T15111469 	 positive
NA_5702 	 positive
NA_T15114531 	 objective
NA_98 	 neutral
NA_7315 	 positive
NA_4508 	 negative
NA_5 	 negative
NA_7497 	 neutral
NA_5305 	 positive
NA_2628 	 neutral
NA_745 	 objective
NA_4697 	 objective
NA_1358 	 positive
NA_6378 	 neutral
NA_T15114231 	 positive
NA_149 	 objective
NA_4328 	 positive
NA_3301 	 positive
NA_3212 	 neutral
NA_4629 	 positive
NA_2479 	 positive
NA_T15116693 	 neutral
NA_T15116682 	 neutral
NA_1741 	 objective
NA_5368 	 positive
NA_2228 	 neutral
NA_6314 	 neutral
NA_100 	 objective
NA_5815 	 positive
NA_T15113894 	 objective
NA_740 	 neutral
NA_5986 	 objective
NA_6113 	 positive
NA_8780 	 objective
NA_T15111975 	 neutral
NA_3401 	 objective
NA_6295 	 negative
NA_3692 	 objective
NA_T15113021 	 objective
NA_4667 	 positive
NA_8057 	 negative
NA_333 	 positive
NA_2524 	 positive
NA_1227 	 objective
NA_2345 	 objective
NA_T15112705 	 positive
NA_T15113178 	 objective
NA_4557 	 positive
NA_2028 	 neutral
NA_972 	 neutral
NA_5887 	 positive
NA_317 	 positive
NA_894 	 objective
NA_1370 	 positive
NA_4478 	 positive
NA_999 	 negative
NA_3779 	 negative
NA_4764 	 neutral
NA_T15115253 	 objective
NA_2935 	 neutral
NA_5535 	 negative
NA_T15115767 	 objective
NA_4154 	 positive
NA_1272 	 negative
NA_3668 	 neutral
NA_T15111608 	 positive
NA_1581 	 positive
NA_5543 	 positive
NA_1248 	 objective
NA_2011 	 negative
NA_T15114337 	 negative
NA_4633 	 objective
NA_7560 	 objective
NA_2629 	 negative
NA_7644 	 objective
NA_6372 	 objective
NA_241 	 negative
NA_T15116464 	 positive
NA_3299 	 objective
NA_6249 	 objective
NA_1986 	 positive
NA_7150 	 positive
NA_7067 	 positive
NA_8576 	 negative
NA_T15111871 	 objective
NA_5310 	 positive
NA_5587 	 objective
NA_2225 	 positive
NA_6462 	 positive
NA_8197 	 objective
NA_3699 	 negative
NA_T15114102 	 negative
NA_5981 	 objective
NA_T15111809 	 neutral
NA_2154 	 objective
NA_6021 	 positive
NA_3595 	 positive
NA_8507 	 positive
NA_5938 	 positive
NA_7737 	 positive
NA_5713 	 positive
NA_2193 	 positive
NA_3428 	 positive
NA_T15115387 	 objective
NA_8846 	 negative
NA_4507 	 positive
NA_5591 	 negative
NA_5354 	 neutral
NA_2081 	 objective
NA_7526 	 negative
NA_8655 	 positive
NA_1540 	 negative
NA_1994 	 objective
NA_T15113308 	 neutral
NA_T15112281 	 neutral
NA_6352 	 objective
NA_469 	 negative
NA_8313 	 positive
NA_T15115522 	 positive
NA_7601 	 positive
NA_67 	 objective
NA_1550 	 objective
NA_7211 	 positive
NA_8343 	 negative
NA_8861 	 positive
NA_5019 	 positive
NA_3439 	 objective
NA_434 	 objective
NA_4602 	 negative
NA_7939 	 objective
NA_7870 	 positive
NA_T15113184 	 objective
NA_2999 	 neutral
NA_T15112997 	 objective
NA_4165 	 objective
NA_4300 	 objective
NA_844 	 negative
NA_6686 	 positive
NA_T15115718 	 objective
NA_8340 	 objective
NA_8572 	 positive
NA_3902 	 positive
NA_T15116029 	 positive
NA_1786 	 objective
NA_8159 	 positive
NA_2021 	 objective
NA_8022 	 negative
NA_4730 	 positive
NA_7695 	 positive
NA_8067 	 neutral
NA_4345 	 positive
NA_T15114947 	 negative
NA_7599 	 positive
NA_3152 	 negative
NA_6373 	 neutral
NA_T15113885 	 positive
NA_4497 	 objective
NA_7714 	 neutral
NA_T15115518 	 positive
NA_6751 	 positive
NA_T15111824 	 positive
NA_4326 	 objective
NA_172 	 positive
NA_2710 	 objective
NA_910 	 positive
NA_6578 	 positive
NA_T15116703 	 objective
NA_T15114793 	 positive
NA_1605 	 negative
NA_613 	 objective
NA_8489 	 positive
NA_2168 	 negative
NA_T15115158 	 objective
NA_437 	 positive
NA_2695 	 positive
NA_4566 	 neutral
NA_946 	 positive
NA_2615 	 positive
NA_6114 	 positive
NA_4701 	 neutral
NA_T15114546 	 objective
NA_6949 	 neutral
NA_76 	 negative
NA_611 	 neutral
NA_8534 	 neutral
NA_365 	 positive
NA_2879 	 objective
NA_4530 	 negative
NA_2201 	 objective
NA_T15112259 	 objective
NA_2701 	 negative
NA_6615 	 negative
NA_4671 	 positive
NA_1034 	 negative
NA_1904 	 neutral
NA_5895 	 negative
NA_2724 	 objective
NA_7417 	 positive
NA_3047 	 positive
NA_2509 	 objective
NA_5600 	 objective
NA_5948 	 neutral
NA_2819 	 objective
NA_8025 	 objective
NA_8880 	 objective
NA_T15112351 	 positive
NA_8252 	 negative
NA_639 	 negative
NA_6181 	 negative
NA_7686 	 objective
NA_1626 	 positive
NA_909 	 objective
NA_T15116718 	 neutral
NA_7749 	 neutral
NA_7922 	 positive
NA_5286 	 objective
NA_213 	 negative
NA_5213 	 objective
NA_T15115626 	 positive
NA_T15112510 	 objective
NA_T15113482 	 objective
NA_T15116433 	 objective
NA_8044 	 positive
NA_818 	 positive
NA_8030 	 positive
NA_T15115010 	 objective
NA_T15111531 	 objective
NA_3945 	 objective
NA_2269 	 objective
NA_T15114475 	 objective
NA_893 	 objective
NA_6838 	 positive
NA_2008 	 positive
NA_6225 	 positive
NA_2452 	 positive
NA_6056 	 positive
NA_4431 	 positive
NA_2787 	 positive
NA_5271 	 positive
NA_231 	 positive
NA_T15111342 	 neutral
NA_1471 	 positive
NA_T15115960 	 objective
NA_39 	 neutral
NA_1756 	 neutral
NA_T15112663 	 objective
NA_2103 	 negative
NA_358 	 positive
NA_793 	 objective
NA_8498 	 objective
NA_348 	 negative
NA_3443 	 negative
NA_3370 	 negative
NA_57 	 neutral
NA_2097 	 positive
NA_2475 	 objective
NA_1691 	 positive
NA_2882 	 negative
NA_T15116568 	 neutral
NA_5090 	 objective
NA_8245 	 positive
NA_T15116322 	 positive
NA_8798 	 objective
NA_3664 	 objective
NA_5204 	 objective
NA_3665 	 positive
NA_T15116054 	 positive
NA_2501 	 negative
NA_7947 	 positive
NA_3793 	 objective
NA_T15115085 	 positive
NA_4385 	 negative
NA_4098 	 positive
NA_4394 	 positive
NA_T15114512 	 neutral
NA_8533 	 positive
NA_1777 	 objective
NA_566 	 negative
NA_1712 	 positive
NA_93 	 objective
NA_1065 	 positive
NA_T15112619 	 negative
NA_8327 	 negative
NA_1634 	 objective
NA_7918 	 positive
NA_4969 	 positive
NA_7389 	 positive
NA_1535 	 neutral
NA_7256 	 positive
NA_8394 	 positive
NA_6182 	 positive
NA_1505 	 positive
NA_6511 	 positive
NA_2689 	 neutral
NA_5954 	 neutral
NA_7231 	 positive
NA_3025 	 positive
NA_976 	 objective
NA_T15113495 	 objective
NA_5907 	 objective
NA_T15112304 	 objective
NA_6312 	 objective
NA_T15116142 	 objective
NA_244 	 positive
NA_2609 	 positive
NA_T15111636 	 objective
NA_T15111378 	 neutral
NA_5335 	 objective
NA_8921 	 objective
NA_T15115420 	 positive
NA_7062 	 positive
NA_1155 	 neutral
NA_T15111169 	 objective
NA_2172 	 positive
NA_T15114456 	 objective
NA_6387 	 objective
NA_T15115760 	 positive
NA_T15111695 	 negative
NA_1307 	 positive
NA_2714 	 positive
NA_6638 	 positive
NA_2026 	 neutral
NA_794 	 negative
NA_T15113146 	 positive
NA_5467 	 neutral
NA_2802 	 negative
NA_2094 	 positive
NA_4299 	 objective
NA_4461 	 objective
NA_T15113550 	 neutral
NA_1409 	 neutral
NA_8603 	 positive
NA_5622 	 positive
NA_2858 	 positive
NA_2779 	 negative
NA_2921 	 objective
NA_851 	 positive
NA_2255 	 objective
NA_2810 	 objective
NA_1356 	 neutral
NA_3601 	 positive
NA_4294 	 objective
NA_530 	 negative
NA_6094 	 objective
NA_T15115887 	 positive
NA_T15112591 	 objective
NA_8515 	 negative
NA_6623 	 positive
NA_5452 	 objective
NA_5776 	 neutral
NA_981 	 positive
NA_T15114206 	 positive
NA_1593 	 positive
NA_4479 	 positive
NA_993 	 objective
